case,function,dt,horizon,initial_X,final_X,T,norm,initial_U,max_U,trajectory
scalar,run_example_a,0.002,,[1.0],[5.7880187388228274e-05],10.0,5.7880187388228274e-05,[-1.1100761610342922],1.1100761610342922,00-scalar.csv
scalar,run_example_a,0.001,,[1.0],[5.8366030289702004e-05],10.0,5.8366030289702004e-05,[-1.110228602826226],1.110228602826226,01-scalar.csv
cascade,run_example_b,0.002,,"[1.0, 1.0]","[-0.00047802126264050334, -9.399009765461931e-05]",15.0,0.00048717395865701394,[-4.0],4.0,02-cascade.csv
cascade,run_example_b,0.001,,"[1.0, 1.0]","[-0.00047904365117966744, -9.418713410060888e-05]",15.0,0.0004882151533551913,[-4.0],4.0,03-cascade.csv
pendulum,run_example_c,0.01,,"[1.5707963267948966, 1.5707963267948966]","[0.023652309798165096, -0.01275974727971209]",10.0,0.026874577381430516,[-7.467661122567007],7.467661122567007,04-pendulum.csv
pendulum,run_example_c,0.01,,"[3.141592653589793, 1.5707963267948966]","[0.03925829420411885, -0.021177242243688638]",10.0,0.04460593293346775,[-6.811116128044565],6.811116128044565,05-pendulum.csv
pendulum,run_example_c,0.01,,"[4.71238898038469, 1.5707963267948966]","[0.05711396529664839, -0.030805396341447897]",10.0,0.06489204477946775,[-8.860879087661017],8.860879087661017,06-pendulum.csv
pendulum-refinement,run_example_c,0.02,,"[3.141592653589793, 1.5707963267948966]","[0.03912616334111971, -0.021020947830813534]",10.0,0.044415502986026895,[-6.829414297533875],6.829414297533875,07-pendulum-refinement.csv
pendulum-refinement,run_example_c,0.005,,"[3.141592653589793, 1.5707963267948966]","[0.039378133685429195, -0.02126428898897087]",10.0,0.04475273621527517,[-6.802301875312345],6.802301875312345,08-pendulum-refinement.csv
